,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,lebu,-37.6167,-73.65,52.02,63,1,14.12,CL,1659463372
1,punta arenas,-53.15,-70.9167,44.11,81,100,6.08,CL,1659463345
2,hobart,-42.8794,147.3294,55.26,64,100,12.66,AU,1659463353
3,mataura,-46.1927,168.8643,44.47,78,77,9.95,NZ,1659463468
4,luderitz,-26.6481,15.1594,55.15,78,0,3.58,NA,1659463179
5,saint-pierre,-21.3393,55.4781,69.48,81,75,8.05,RE,1659463218
6,ushuaia,-54.8,-68.3,40.62,87,75,10.36,AR,1659463469
7,garowe,8.4054,48.4845,86.63,32,71,16.24,SO,1659463469
8,sao filipe,14.8961,-24.4956,78.35,80,71,6.15,CV,1659463470
9,hilo,19.7297,-155.09,75.61,89,100,3.44,US,1659463430
10,longyearbyen,78.2186,15.6401,55.24,71,75,6.91,SJ,1659463261
11,rikitea,-23.1203,-134.9692,72.73,76,93,21.16,PF,1659463471
12,saint george,37.1041,-113.5841,94.62,35,0,5.75,US,1659463363
13,bambous virieux,-20.3428,57.7575,68.25,77,20,4.61,MU,1659463175
14,albany,42.6001,-73.9662,87.03,64,27,1.01,US,1659463472
15,mayskiy,47.6931,40.1025,72.81,66,99,4.5,RU,1659463472
16,vaini,-21.2,-175.2,75.36,94,40,9.22,TO,1659463473
17,kapaa,22.0752,-159.319,80.58,80,20,10.36,US,1659463473
18,brigantine,39.4101,-74.3646,93.2,58,10,10.36,US,1659463320
19,bredasdorp,-34.5322,20.0403,50.86,88,13,1.1,ZA,1659463474
20,beringovskiy,63.05,179.3167,54.37,66,79,6.46,RU,1659463474
21,busselton,-33.65,115.3333,52.47,60,96,22.06,AU,1659463475
22,qaanaaq,77.484,-69.3632,46.6,56,94,1.74,GL,1659463475
23,turukhansk,65.8167,87.9833,54.84,59,81,4.54,RU,1659463476
24,tasiilaq,65.6145,-37.6368,48.36,62,4,5.21,GL,1659463476
25,isangel,-19.55,169.2667,75.76,91,100,7.27,VU,1659463477
26,yellowknife,62.456,-114.3525,64.56,34,18,8.01,CA,1659463238
27,nemuro,43.3236,145.575,59.36,94,95,10.54,JP,1659463477
28,vagur,61.4732,-6.8119,49.86,90,100,13.89,FO,1659463478
29,salalah,17.0151,54.0924,77.09,100,75,4.61,OM,1659463479
30,san patricio,28.017,-97.5169,97.52,40,27,17.9,US,1659463479
31,tuatapere,-46.1333,167.6833,47.98,81,75,12.62,NZ,1659463479
32,lata,40.1629,-8.3327,82.06,44,0,6.22,PT,1659463416
33,thompson,55.7435,-97.8558,59.16,94,100,4.61,CA,1659463313
34,yulara,-25.2406,130.9889,62.89,49,65,8.05,AU,1659463481
35,castro,-24.7911,-50.0119,76.03,35,0,4.14,BR,1659463273
36,souillac,-20.5167,57.5167,68.38,77,20,6.91,MU,1659463265
37,gondanglegi,-7.7479,112.0132,74.12,90,100,7.07,ID,1659463482
38,yerbogachen,61.2767,108.0108,63.48,96,100,3.38,RU,1659463482
39,cabo san lucas,22.8909,-109.9124,94.3,58,20,11.5,MX,1659463483
40,salair,54.2312,85.7972,50.52,88,62,4.47,RU,1659463483
41,sitka,57.0531,-135.33,57.09,82,75,6.91,US,1659463484
42,cape town,-33.9258,18.4232,58.1,87,0,8.05,ZA,1659463195
43,richards bay,-28.783,32.0377,65.93,75,0,14.32,ZA,1659463371
44,port alfred,-33.5906,26.891,63.88,64,74,7.7,ZA,1659463485
45,gulu,2.7746,32.299,62.47,95,52,2.19,UG,1659463485
46,east london,-33.0153,27.9116,66.45,69,77,6.04,ZA,1659463486
47,dikson,73.5069,80.5464,42.06,88,82,2.57,RU,1659463486
48,new norfolk,-42.7826,147.0587,54.9,74,100,3.0,AU,1659463487
49,tiksi,71.6872,128.8694,39.74,78,100,5.08,RU,1659463487
50,mnogovershinnyy,53.9353,139.9242,58.03,98,100,2.55,RU,1659463488
51,tura,25.5198,90.2201,75.45,91,100,2.59,IN,1659463367
52,coquimbo,-29.9533,-71.3436,55.13,71,100,9.22,CL,1659463488
53,cabedelo,-6.9811,-34.8339,79.88,77,27,7.54,BR,1659463346
54,onega,63.9061,38.1404,61.61,96,100,12.5,RU,1659463489
55,provideniya,64.3833,-173.3,53.82,59,37,4.25,RU,1659463489
56,nkhotakota,-12.9274,34.2961,72.73,64,72,14.27,MW,1659463490
57,kensington,-33.9167,151.2167,53.78,65,0,10.36,AU,1659463491
58,georgetown,5.4112,100.3354,78.73,95,40,0.0,MY,1659463360
59,praia da vitoria,38.7333,-27.0667,79.75,78,14,8.46,PT,1659463492
60,port elizabeth,-33.918,25.5701,59.31,82,73,5.66,ZA,1659463492
61,aklavik,68.2191,-135.0107,49.51,69,100,17.38,CA,1659463493
62,port blair,11.6667,92.75,77.58,97,100,20.98,IN,1659463494
63,etaples,50.5219,1.6332,76.15,83,40,9.22,FR,1659463494
64,sorland,67.667,12.6934,53.46,71,12,9.95,NO,1659463251
65,dandong,40.1292,124.3947,75.94,96,51,1.74,CN,1659463495
66,logon,11.3303,124.1146,81.84,77,94,8.1,PH,1659463495
67,karratha,-20.7377,116.8463,67.37,59,11,15.79,AU,1659463407
68,fortuna,40.5982,-124.1573,74.93,75,20,9.22,US,1659463497
69,atuona,-9.8,-139.0333,76.71,73,7,18.84,PF,1659463497
70,yar-sale,66.8333,70.8333,58.19,61,14,7.16,RU,1659463498
71,upernavik,72.7868,-56.1549,45.88,72,92,10.02,GL,1659463498
72,vilhena,-12.7406,-60.1458,93.58,21,30,5.12,BR,1659463214
73,jamestown,42.097,-79.2353,77.52,55,40,12.66,US,1659463345
74,verkhnyaya toyma,62.2349,44.9985,63.55,75,97,4.59,RU,1659463499
75,trebinje,42.7119,18.3442,80.94,61,0,9.22,BA,1659463500
76,xingyi,24.1877,102.817,60.48,98,13,1.92,CN,1659463500
77,puerto ayora,-0.7393,-90.3518,80.56,80,72,8.01,EC,1659463501
78,hermanus,-34.4187,19.2345,54.81,80,21,1.39,ZA,1659463501
79,talnakh,69.4865,88.3972,44.38,78,2,7.4,RU,1659463502
80,cabras,39.93,8.5314,82.17,58,45,6.73,IT,1659463502
81,saint-augustin,51.226,-58.6502,70.99,74,100,20.2,CA,1659463220
82,khatanga,71.9667,102.5,44.01,71,100,5.39,RU,1659463503
83,fernley,39.608,-119.2518,88.03,25,26,4.0,US,1659463335
84,cockburn town,21.4612,-71.1419,82.49,72,12,13.31,TC,1659463504
85,buzmeyin,38.0507,58.2056,90.34,24,0,2.77,TM,1659463505
86,whitianga,-36.8333,175.7,53.51,85,100,5.84,NZ,1659463505
87,ponta do sol,32.6667,-17.1,77.72,70,1,2.71,PT,1659463506
88,stromness,58.965,-3.296,62.56,84,81,14.0,GB,1659463507
89,butaritari,3.0707,172.7902,81.64,75,81,18.5,KI,1659463507
90,te anau,-45.4167,167.7167,45.36,87,60,8.5,NZ,1659463508
91,nuuk,64.1835,-51.7216,54.21,66,40,11.5,GL,1659463509
92,bethel,41.3712,-73.414,90.05,61,75,12.66,US,1659463509
93,nanortalik,60.1432,-45.2371,48.04,77,85,13.27,GL,1659463510
94,kodiak,57.79,-152.4072,54.45,76,47,8.77,US,1659463238
95,santa marta,11.2408,-74.199,84.94,71,89,10.78,CO,1659463293
96,leh,34.1667,77.5833,64.24,37,3,6.29,IN,1659463511
97,praia,14.9215,-23.5087,82.94,65,20,8.05,CV,1659463511
98,colares,38.7992,-9.4469,79.79,57,20,12.66,PT,1659463423
99,bengkulu,-3.8004,102.2655,74.77,93,97,4.25,ID,1659463298
100,cidreira,-30.1811,-50.2056,63.1,75,21,8.77,BR,1659463512
101,anadyr,64.75,177.4833,50.0,81,42,5.57,RU,1659463272
102,cherskiy,68.75,161.3,49.66,98,100,4.56,RU,1659463513
103,ngunguru,-35.6167,174.5,55.62,85,100,7.58,NZ,1659463513
104,victoria,22.2855,114.1577,84.38,81,100,5.01,HK,1659463514
105,antequera,37.0194,-4.5612,84.45,26,0,9.51,ES,1659463514
106,mar del plata,-38.0023,-57.5575,54.95,86,100,8.99,AR,1659463222
107,valle de allende,26.9333,-105.4,86.04,24,1,7.25,MX,1659463515
108,ribeira grande,38.5167,-28.7,77.4,78,40,8.05,PT,1659463516
109,cooma,-36.2333,149.1333,38.26,82,82,8.41,AU,1659463516
110,bluff,-46.6,168.3333,44.8,76,68,31.79,NZ,1659463260
111,vieques,18.425,-65.8329,90.72,70,20,19.57,PR,1659463517
112,komsomolskiy,40.4272,71.7189,79.52,31,96,6.91,UZ,1659463386
113,saint anthony,45.0205,-93.218,90.66,61,0,20.71,US,1659463518
114,ust-ilimsk,58.0006,102.6619,57.16,97,100,5.91,RU,1659463518
115,saskylakh,71.9167,114.0833,43.59,87,100,7.94,RU,1659463519
116,roma,43.2128,-75.4557,83.73,64,20,16.11,US,1659463323
117,mattru,7.6244,-11.8332,72.05,97,100,4.09,SL,1659463519
118,vardo,70.3705,31.1107,57.18,94,0,4.61,NO,1659463310
119,hualmay,-11.0964,-77.6139,66.43,71,42,10.63,PE,1659463520
120,mount isa,-20.7333,139.5,56.97,67,10,2.3,AU,1659463521
121,campbell river,50.0163,-125.2446,68.45,50,68,2.68,CA,1659463521
122,rengasdengklok,-6.1592,107.2981,76.78,81,78,5.64,ID,1659463522
123,miandrivazo,-19.5167,45.4667,71.46,70,0,1.28,MG,1659463522
124,terme,41.2092,36.9739,76.93,84,36,2.66,TR,1659463522
125,izumo,35.3667,132.7667,77.7,92,98,6.44,JP,1659463523
126,mildura,-34.2,142.15,61.07,67,100,20.71,AU,1659463524
127,porbandar,21.6422,69.6093,82.22,80,100,12.1,IN,1659463524
128,okhotsk,59.3833,143.3,52.56,92,99,2.06,RU,1659463468
129,general roca,-39.0333,-67.5833,56.62,25,0,12.19,AR,1659463525
130,vila franca do campo,37.7167,-25.4333,73.81,68,49,3.47,PT,1659463296
131,kidal,18.4411,1.4078,96.6,30,50,13.76,ML,1659463526
132,coahuayana,18.7333,-103.6833,91.45,56,77,4.25,MX,1659463526
133,xining,36.6167,101.7667,66.9,69,92,0.51,CN,1659463527
134,lompoc,34.6391,-120.4579,88.7,74,0,13.8,US,1659463444
135,nouadhibou,20.931,-17.0347,71.35,90,11,13.42,MR,1659463527
136,tuktoyaktuk,69.4541,-133.0374,45.28,85,97,12.8,CA,1659463528
137,filadelfia,39.9523,-75.1638,92.01,56,50,5.99,US,1659463263
138,rocha,-34.4833,-54.3333,63.66,75,100,10.58,UY,1659463529
139,avarua,-21.2078,-159.775,73.45,56,75,5.75,CK,1659463529
140,chokurdakh,70.6333,147.9167,51.78,75,100,2.08,RU,1659463530
141,dingle,10.9995,122.6711,76.33,88,97,4.27,PH,1659463530
142,grindavik,63.8424,-22.4338,52.27,66,75,23.02,IS,1659463531
143,benjamin constant,-4.3831,-70.0311,87.93,70,40,5.75,BR,1659463531
144,vao,-22.6667,167.4833,73.31,88,37,10.49,NC,1659463532
145,shunyi,40.125,116.6453,84.15,89,0,4.47,CN,1659463532
146,tornio,65.8481,24.1466,60.82,83,38,8.01,FI,1659463533
147,vila velha,-20.3297,-40.2925,80.55,76,20,16.11,BR,1659463533
148,kutiyana,21.6233,69.9817,82.15,76,100,10.09,IN,1659463534
149,westport,41.1415,-73.3579,91.31,63,0,11.5,US,1659463534
150,urucara,-2.5364,-57.76,92.16,46,72,5.61,BR,1659463535
151,ivybridge,50.3904,-3.9191,68.86,88,25,16.04,GB,1659463535
152,mata,40.683,-7.4592,88.93,23,0,14.12,PT,1659463535
153,krasnyye chetai,55.6887,46.1386,63.18,74,73,5.35,RU,1659463536
154,bara,10.3744,10.7288,72.23,93,100,5.03,NG,1659463537
155,saint-philippe,-21.3585,55.7679,69.39,80,40,7.92,RE,1659463537
156,matagami,49.7502,-77.6328,67.5,38,18,7.63,CA,1659463538
157,pitimbu,-7.4706,-34.8086,75.79,76,34,5.86,BR,1659463538
158,mungaoli,24.4167,78.1,81.82,77,100,4.74,IN,1659463539
159,naica,27.85,-105.4833,88.88,23,1,0.81,MX,1659463540
160,teknaf,20.8624,92.3058,80.89,88,100,2.19,BD,1659463540
161,muroto,33.2833,134.15,80.67,89,98,11.23,JP,1659463542
162,norman wells,65.282,-126.8329,67.5,47,100,5.82,CA,1659463542
163,ardakan,32.31,54.0175,92.46,17,2,8.46,IR,1659463543
164,gagra,43.3283,40.2239,77.92,87,33,3.85,GE,1659463543
165,espita,21.0167,-88.3167,89.65,33,49,6.6,MX,1659463544
166,evensk,61.95,159.2333,52.03,97,100,3.98,RU,1659463544
167,rivadavia,-33.1905,-68.4608,62.73,32,0,15.46,AR,1659463545
168,esperance,-33.8667,121.9,51.64,68,100,35.23,AU,1659463545
169,kaitangata,-46.2817,169.8464,48.22,68,59,15.59,NZ,1659463546
170,necochea,-38.5473,-58.7368,60.71,55,100,8.03,AR,1659463546
171,hobyo,5.3505,48.5268,76.26,81,3,26.24,SO,1659463547
172,biak,-0.9131,122.8766,74.64,88,59,6.6,ID,1659463547
173,pilar,-9.5972,-35.9567,75.13,96,100,8.68,BR,1659463548
174,vestmanna,62.1564,-7.1664,49.12,93,100,13.8,FO,1659463258
175,grand-santi,4.25,-54.3833,81.82,79,56,1.36,GF,1659463549
176,torbay,47.6666,-52.7314,80.89,66,57,5.01,CA,1659463533
177,gualaquiza,-3.4,-78.55,72.81,80,64,2.66,EC,1659463549
178,barrow,71.2906,-156.7887,42.35,65,42,15.5,US,1659463340
179,cap malheureux,-19.9842,57.6142,66.47,75,5,3.0,MU,1659463550
180,hamadan,34.7992,48.5146,82.69,17,69,4.85,IR,1659463551
181,lampa,-33.2833,-70.9,62.78,62,27,2.3,CL,1659463551
182,creston,41.0586,-94.3614,97.72,52,0,13.8,US,1659463552
183,kabwe,-14.4469,28.4464,62.96,56,13,11.7,ZM,1659463552
184,riyadh,24.6877,46.7219,100.54,32,18,7.99,SA,1659463553
185,dzilam gonzalez,21.2833,-88.9333,94.28,46,58,6.11,MX,1659463553
186,deputatskiy,69.3,139.9,44.31,85,100,3.42,RU,1659463554
187,cedar city,37.6775,-113.0619,83.39,42,20,10.36,US,1659463471
188,nome,64.5011,-165.4064,59.16,77,0,4.61,US,1659463554
189,soyo,-6.1349,12.3689,69.75,84,13,12.01,AO,1659463555
190,saldanha,-33.0117,17.9442,57.47,79,36,11.14,ZA,1659463555
191,roebourne,-20.7833,117.1333,67.91,61,26,15.03,AU,1659463556
192,zaraza,9.3503,-65.3245,97.0,31,84,4.43,VE,1659463273
193,pervomayskoye,43.919,46.7102,75.0,63,16,8.48,RU,1659463556
194,alyangula,-13.8483,136.4192,69.67,94,40,2.3,AU,1659463557
195,culfa,38.9558,45.6308,91.27,38,54,8.43,AZ,1659463557
196,catuday,16.2923,119.8062,78.13,82,100,1.74,PH,1659463558
197,taveta,-3.3963,37.6736,69.89,63,67,8.3,KE,1659463559
198,kyenjojo,0.6328,30.6214,62.56,89,60,2.89,UG,1659463559
199,abalak,58.1286,68.5944,54.63,72,5,5.66,RU,1659463560
200,hasaki,35.7333,140.8333,81.28,91,89,7.23,JP,1659463560
201,hithadhoo,-0.6,73.0833,80.8,74,53,11.95,MV,1659463561
202,bilibino,68.0546,166.4372,57.02,60,99,4.25,RU,1659463531
203,maputo,-25.9653,32.5892,67.06,68,98,10.13,MZ,1659463361
204,port hardy,50.6996,-127.4199,59.76,81,93,5.57,CA,1659463397
205,arraial do cabo,-22.9661,-42.0278,75.06,78,0,6.91,BR,1659463562
206,camocim,-2.9022,-40.8411,88.02,52,30,15.19,BR,1659463562
207,nhulunbuy,-12.2333,136.7667,75.81,94,100,8.05,AU,1659463563
208,suifenhe,44.4,131.1667,67.44,93,73,3.0,CN,1659463563
209,paamiut,61.994,-49.6678,45.21,86,66,3.22,GL,1659463564
210,kavaratti,10.5669,72.642,78.57,82,100,31.7,IN,1659463564
211,san andres,12.5847,-81.7006,84.22,79,100,12.66,CO,1659463565
212,rehoboth,-23.3167,17.0833,51.94,43,0,8.43,NA,1659463565
213,oistins,13.0667,-59.5333,87.89,66,20,24.16,BB,1659463566
214,carnarvon,-24.8667,113.6333,64.47,72,75,19.57,AU,1659463566
215,caluquembe,-13.7833,14.6833,60.51,26,88,7.49,AO,1659463567
216,turan,16.0678,108.2208,78.78,83,20,3.44,VN,1659463554
217,dunedin,-45.8742,170.5036,52.81,53,53,11.01,NZ,1659463308
218,pizarro,4.9533,-77.366,79.32,86,93,11.7,CO,1659463568
219,emba,48.8264,58.1442,72.75,54,76,8.81,KZ,1659463568
220,minggang,32.4586,114.0486,80.96,78,17,2.48,CN,1659463569
221,san ignacio,17.1561,-89.0714,87.94,70,75,6.91,BZ,1659463569
222,bouca,6.5105,18.2733,71.15,95,66,2.84,CF,1659463570
223,khani,41.9563,42.9566,67.57,91,57,1.25,GE,1659463570
224,sorong,-0.8833,131.25,76.71,89,96,7.02,ID,1659463571
225,leningradskiy,69.3833,178.4167,58.59,50,100,15.95,RU,1659463363
226,morgan city,29.6994,-91.2068,80.02,62,81,4.9,US,1659463571
227,portland,45.5234,-122.6762,78.6,63,20,5.75,US,1659463454
228,shaoxing,30.011,120.5715,85.95,83,22,3.42,CN,1659463572
229,yumen,40.2833,97.2,71.83,52,49,3.0,CN,1659463573
230,port said,31.2565,32.2841,80.83,79,2,16.2,EG,1659463574
231,rosarito,32.3333,-117.0333,89.64,59,2,11.25,MX,1659463574
232,anton lizardo,19.05,-95.9833,79.02,65,85,4.03,MX,1659463575
233,erzin,36.9559,36.2,77.56,89,15,3.76,TR,1659463575
234,andenes,69.3143,16.1194,53.58,82,40,10.36,NO,1659463344
235,sao joao da barra,-21.6403,-41.0511,84.29,73,0,15.12,BR,1659463576
236,tutoia,-2.7619,-42.2744,82.17,67,28,9.19,BR,1659463577
237,itigi,-5.7,34.4833,69.17,39,34,6.67,TZ,1659463577
238,sinnamary,5.3833,-52.95,82.53,81,27,9.91,GF,1659463578
239,port lincoln,-34.7333,135.8667,56.59,71,2,22.68,AU,1659463578
240,herat,34.5,62.0,78.03,30,0,22.24,AF,1659463579
241,pionerskiy,54.9508,20.2275,67.75,58,100,3.47,RU,1659463579
242,xuddur,4.1213,43.8894,78.49,52,95,19.17,SO,1659463580
243,pisco,-13.7,-76.2167,64.02,77,2,10.36,PE,1659463580
244,ati,13.2154,18.3353,83.71,58,85,6.62,TD,1659463581
245,ranfurly,-45.1333,170.1,39.83,82,62,12.71,NZ,1659463581
246,samana,19.2056,-69.3369,89.82,70,40,9.22,DO,1659463582
247,botou,38.0667,116.5667,81.21,79,1,6.26,CN,1659463582
248,nioro,13.35,-15.75,83.37,73,63,8.7,GM,1659463583
249,torit,4.4133,32.5678,67.91,90,82,2.1,SS,1659463583
250,ribas do rio pardo,-20.4431,-53.7592,93.34,16,0,8.32,BR,1659463584
251,ouadda,8.0777,22.4007,69.06,95,59,3.0,CF,1659463585
252,lagoa,39.05,-27.9833,74.66,75,0,13.98,PT,1659463585
253,hay river,60.8156,-115.7999,62.67,47,44,7.05,CA,1659463377
254,gazli,40.1333,63.45,89.1,23,34,5.1,UZ,1659463586
255,nikolskoye,59.7035,30.7861,66.09,88,40,2.1,RU,1659463586
256,macae,-22.3708,-41.7869,75.94,69,9,7.54,BR,1659463587
257,clyde river,70.4692,-68.5914,37.22,94,100,6.22,CA,1659463587
258,jumla,29.2747,82.1838,63.55,97,96,0.74,NP,1659463384
259,guerrero negro,27.9769,-114.0611,82.04,49,82,13.33,MX,1659463588
260,zhigansk,66.7697,123.3711,47.16,64,66,17.25,RU,1659463588
261,batagay-alyta,67.8006,130.4114,47.34,86,100,5.19,RU,1659463589
262,sao geraldo do araguaia,-6.4006,-48.555,98.4,21,65,6.76,BR,1659463345
263,mao,39.8885,4.2658,88.36,37,0,9.22,ES,1659463590
264,reconquista,-29.15,-59.65,74.37,56,58,7.05,AR,1659463579
265,vostok,46.4856,135.8833,65.28,78,100,3.65,RU,1659463590
266,buala,-8.145,159.5921,78.89,84,83,8.52,SB,1659463591
267,berdigestyakh,62.0989,126.6992,61.39,98,90,2.86,RU,1659463591
268,razdolnoye,43.55,131.9167,72.01,99,49,3.18,RU,1659463592
269,mapastepec,15.4333,-92.9,89.19,61,20,6.13,MX,1659463424
270,mazyr,52.0495,29.2456,64.69,80,100,2.86,BY,1659463592
271,mount gambier,-37.8333,140.7667,52.65,81,79,16.64,AU,1659463593
272,pringsewu,-5.3582,104.9744,73.56,97,70,2.66,ID,1659463593
273,moose factory,51.2585,-80.6094,67.98,60,40,12.66,CA,1659463594
274,houma,29.5958,-90.7195,81.0,86,98,5.01,US,1659463242
275,tabou,4.423,-7.3528,75.96,70,77,8.93,CI,1659463595
276,bardiyah,31.7561,25.0865,80.37,72,0,11.25,LY,1659463595
277,brae,60.3964,-1.353,57.61,94,100,26.42,GB,1659463450
278,kenai,60.5544,-151.2583,59.14,83,0,10.36,US,1659463596
279,san policarpo,12.1791,125.5072,80.98,79,86,3.42,PH,1659463596
280,nyurba,63.2842,118.3319,60.89,70,96,5.19,RU,1659463597
281,pueblo nuevo,23.3833,-105.3833,73.76,42,43,4.7,MX,1659463597
282,los llanos de aridane,28.6585,-17.9182,71.35,73,0,21.85,ES,1659463382
283,santa cruz,-17.8,-63.1667,87.26,58,75,20.71,BO,1659463598
284,maumere,-8.6199,122.2111,75.27,75,76,0.89,ID,1659463599
285,daru,-9.0763,143.2092,77.38,91,76,15.23,PG,1659463599
286,mali,12.079,-12.2982,65.3,91,67,1.99,GN,1659463599
287,rorvik,64.8621,11.2373,66.18,55,0,8.05,NO,1659463600
288,quesnel,52.9999,-122.5029,72.64,36,45,3.83,CA,1659463411
289,maragogi,-9.0122,-35.2225,75.6,91,99,12.35,BR,1659463444
290,sumedang,-6.8592,107.9207,70.63,91,96,3.31,ID,1659463601
