,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
291,wanganui,-39.9333,175.05,53.6,79,100,10.0,NZ,1659463601
292,burmakino,57.4166,40.2369,69.37,68,0,2.24,RU,1659463602
293,yekaterinoslavka,50.3734,129.1139,64.15,83,39,5.37,RU,1659463602
294,narsaq,60.9167,-46.05,53.11,59,93,7.16,GL,1659463603
295,oranjemund,-28.55,16.4333,54.36,85,6,3.13,NA,1659463603
296,mahebourg,-20.4081,57.7,68.29,77,20,6.91,MU,1659463604
297,rundu,-17.9333,19.7667,66.49,23,23,2.28,NA,1659463604
298,panzhihua,26.5851,101.7128,68.79,95,67,1.19,CN,1659463605
299,lavassaare,58.5114,24.3889,66.11,88,20,6.91,EE,1659463605
300,itacare,-14.2775,-38.9967,77.72,67,9,6.67,BR,1659463606
301,port moresby,-9.4431,147.1797,74.52,89,50,4.47,PG,1659463412
302,pimentel,-6.8367,-79.9342,70.09,64,20,14.97,PE,1659463606
303,muscle shoals,34.7448,-87.6675,90.88,67,20,4.61,US,1659463533
304,port-gentil,-0.7193,8.7815,75.78,75,87,12.39,GA,1659463607
305,nantucket,41.2835,-70.0995,84.31,81,0,11.5,US,1659463607
306,ratnagiri,16.9833,73.3,80.37,85,100,7.43,IN,1659463608
307,bandarbeyla,9.4942,50.8122,76.68,77,9,30.78,SO,1659463609
308,hingoli,19.7167,77.15,78.01,81,100,5.82,IN,1659463609
309,tokat,40.4167,36.5833,58.68,93,14,6.42,TR,1659463334
310,vrangel,42.7297,133.0839,70.48,96,77,3.15,RU,1659463530
311,sfantu gheorghe,45.8667,25.7833,70.93,69,72,1.66,RO,1659463611
312,jibuti,11.5,42.5,90.52,37,51,11.7,DJ,1659463611
313,bazarnyye mataki,54.8833,49.9333,62.53,69,42,6.22,RU,1659463612
314,estelle,29.8458,-90.1067,81.0,79,100,9.22,US,1659463612
315,tezu,27.9167,96.1667,76.57,96,94,3.38,IN,1659463612
316,dudinka,69.4058,86.1778,43.88,83,4,7.87,RU,1659463613
317,thanh hoa,19.8,105.7667,79.36,85,99,1.9,VN,1659463613
318,svetlyy,54.675,20.1347,67.96,69,99,4.32,RU,1659463614
319,synya,65.3718,58.0387,62.98,62,63,4.59,RU,1659463614
320,tocopilla,-22.092,-70.1979,63.5,69,13,4.9,CL,1659463615
321,mogadishu,2.0371,45.3438,76.33,81,18,17.36,SO,1659463614
322,ahipara,-35.1667,173.1667,53.94,89,100,5.3,NZ,1659463439
323,meulaboh,4.1363,96.1285,74.3,88,100,3.29,ID,1659463616
324,ambilobe,-13.2,49.05,67.82,68,19,5.1,MG,1659463617
325,lorengau,-2.0226,147.2712,81.34,79,100,11.95,PG,1659463617
326,schubelbach,47.1733,8.9281,84.22,13,72,2.42,CH,1659463617
327,manono,-7.3,27.4167,79.9,32,100,3.56,CD,1659463618
328,hovd,48.0056,91.6419,68.16,36,40,8.37,MN,1659463618
329,burnie,-41.0667,145.9167,51.93,92,100,17.87,AU,1659463619
330,chicama,-7.8447,-79.1469,59.54,65,40,9.93,PE,1659463537
331,smiths falls,44.9001,-76.0161,74.75,60,100,9.48,CA,1659463459
332,katsuura,35.1333,140.3,80.08,93,91,9.82,JP,1659463620
333,manado,1.487,124.8455,75.97,94,20,2.3,ID,1659463620
334,iqaluit,63.7506,-68.5145,45.7,70,95,18.99,CA,1659463621
335,pandan,14.0453,124.1694,79.25,85,98,5.19,PH,1659463621
336,pachino,36.7186,15.0907,82.31,66,0,8.03,IT,1659463622
337,kristinehamn,59.3098,14.1081,59.56,79,100,10.69,SE,1659463622
338,poum,-20.2333,164.0167,74.77,85,54,6.98,NC,1659463623
339,iquique,-20.2208,-70.1431,62.64,72,12,7.61,CL,1659463426
340,san pedro,14.35,121.0167,80.35,90,99,3.4,PH,1659463624
341,geraldton,-28.7667,114.6,63.01,67,100,27.63,AU,1659463625
342,vanavara,60.34,102.2797,59.4,88,100,5.77,RU,1659463625
343,iralaya,15.0,-83.2333,82.4,85,100,17.47,HN,1659463626
344,wanning,18.8003,110.3967,81.91,85,100,6.15,CN,1659463627
345,alegrete,-29.7831,-55.7919,63.05,85,97,8.16,BR,1659463627
346,belyy yar,53.6039,91.3903,57.85,82,40,6.71,RU,1659463628
347,aksarka,66.5606,67.7975,60.3,63,8,8.1,RU,1659463629
348,lyubar,49.9204,27.7592,65.43,81,95,8.81,UA,1659463629
349,chingirlau,51.095,54.0814,70.95,58,50,7.43,KZ,1659463630
350,lesnoy,57.6198,63.0784,56.91,79,6,5.28,RU,1659463630
351,alta floresta,-9.8756,-56.0861,97.27,17,89,5.7,BR,1659463537
352,cortez,37.3489,-108.5859,83.93,38,0,3.44,US,1659463631
353,ilulissat,69.2167,-51.1,50.02,87,75,4.61,GL,1659463631
354,gladstone,-23.85,151.25,58.93,88,40,4.61,AU,1659463632
355,dao,11.3937,122.6856,78.03,89,98,0.49,PH,1659463632
356,arrifes,37.7667,-25.7,71.85,78,75,5.75,PT,1659463633
357,kahului,20.8947,-156.47,80.62,70,20,14.97,US,1659463419
358,skibbereen,51.55,-9.2667,63.1,90,100,15.28,IE,1659463634
359,gornopravdinsk,60.05,69.9,54.52,74,31,3.94,RU,1659463634
360,robertsport,6.7533,-11.3686,77.14,81,100,10.42,LR,1659463635
361,husavik,66.0449,-17.3389,45.72,97,100,15.66,IS,1659463635
362,basco,20.4487,121.9702,80.35,87,100,19.73,PH,1659463636
363,santa rosa,14.3122,121.1114,81.1,89,100,3.24,PH,1659463636
364,giyani,-23.3025,30.7187,65.1,60,100,3.49,ZA,1659463637
365,bontang,0.1333,117.5,76.8,87,95,1.77,ID,1659463637
366,nikki,9.9401,3.2108,73.94,90,98,4.41,BJ,1659463638
367,mbandaka,0.0487,18.2603,74.59,74,11,2.15,CD,1659463638
368,hambantota,6.1241,81.1185,78.19,81,99,24.27,LK,1659463639
369,newport,51.5877,-2.9984,75.02,87,62,20.47,GB,1659463620
370,kamenka,51.3223,42.7678,71.2,51,60,11.5,RU,1659463639
371,cherepovets,59.1333,37.9,67.82,64,0,4.47,RU,1659463641
372,morant bay,17.8815,-76.4093,92.71,68,44,11.63,JM,1659463641
373,solnechnyy,50.7214,136.6319,62.47,99,78,1.9,RU,1659463642
374,alekseyevsk,57.8406,108.3492,64.56,97,92,3.76,RU,1659463643
375,caravelas,-17.7125,-39.2481,77.77,63,77,7.81,BR,1659463644
376,grand gaube,-20.0064,57.6608,68.4,75,3,3.0,MU,1659463645
377,taoudenni,22.6783,-3.9836,113.95,8,30,7.87,ML,1659463646
378,byron bay,-28.65,153.6167,52.95,86,86,3.98,AU,1659463646
379,quelimane,-17.8786,36.8883,67.33,92,91,5.61,MZ,1659463647
380,koslan,63.4564,48.8989,63.12,63,87,2.91,RU,1659463647
381,okmulgee,35.6234,-95.9605,97.84,38,0,9.22,US,1659463647
382,pevek,69.7008,170.3133,37.22,98,100,5.23,RU,1659463648
383,charqueada,-22.5097,-47.7781,85.77,24,0,5.1,BR,1659463649
384,korcula,42.9622,17.1369,80.33,69,54,4.29,HR,1659463649
385,vanimo,-2.6741,141.3028,77.77,90,87,6.71,PG,1659463650
386,inirida,3.8653,-67.9239,73.2,98,100,2.06,CO,1659463650
387,maun,-19.9833,23.4167,68.31,32,3,7.25,BW,1659463651
388,alexandria,31.2156,29.9553,81.03,67,0,12.95,EG,1659463651
389,dalbandin,28.8947,64.4101,93.24,18,2,6.89,PK,1659463652
390,qaqortoq,60.7167,-46.0333,50.13,72,91,8.3,GL,1659463652
391,ust-maya,60.4167,134.5333,60.66,94,100,6.35,RU,1659463653
392,asau,46.4333,26.4,72.52,68,35,3.89,RO,1659463653
393,vila,42.0304,-8.1588,84.7,45,0,6.44,PT,1659463653
394,revelstoke,50.9832,-118.2023,77.11,50,14,4.54,CA,1659463654
395,chiang khong,20.2613,100.4046,72.16,100,79,1.1,TH,1659463654
396,axim,4.8699,-2.2405,74.89,72,56,7.72,GH,1659463655
397,hofn,64.2539,-15.2082,50.95,66,16,12.95,IS,1659463655
398,sterling,39.0062,-77.4286,91.45,59,75,11.5,US,1659463406
399,ugoofaaru,5.6667,73.0,81.1,78,97,21.72,MV,1659463656
400,kuryk,43.2,51.65,85.39,40,0,11.14,KZ,1659463656
401,santarem,-2.4431,-54.7083,87.93,74,20,11.5,BR,1659463657
402,kolondieba,11.0882,-6.8926,80.73,71,82,4.34,ML,1659463657
403,severo-kurilsk,50.6789,156.125,51.21,83,67,5.84,RU,1659463658
404,tamasane,-22.4184,27.4013,57.9,72,26,17.2,BW,1659463659
405,muncar,-8.4333,114.3333,74.61,94,100,1.43,ID,1659463659
406,porangatu,-13.4408,-49.1486,96.13,16,8,4.34,BR,1659463659
407,havre-saint-pierre,50.2334,-63.5986,67.42,78,98,12.21,CA,1659463660
408,chapleau,47.8405,-83.4034,69.66,46,46,4.7,CA,1659463661
409,keti bandar,24.1447,67.4497,82.47,83,100,14.25,PK,1659463661
410,yacuiba,-22.038,-63.6797,84.92,36,2,7.4,BO,1659463662
411,kathmandu,27.7167,85.3167,71.82,94,75,3.44,NP,1659463503
412,mandalgovi,45.7625,106.2708,72.05,51,3,5.61,MN,1659463662
413,palmer,42.1584,-72.3287,90.21,61,75,6.91,US,1659463663
414,carutapera,-1.195,-46.02,83.23,75,14,10.71,BR,1659463663
415,penzance,50.1186,-5.5371,70.77,93,69,17.36,GB,1659463432
416,poso,-1.3959,120.7524,75.49,87,92,5.48,ID,1659463664
417,kangaatsiaq,68.3065,-53.4641,44.47,86,100,8.95,GL,1659463664
418,utete,-7.986,38.758,70.05,87,46,5.7,TZ,1659463665
419,fougeres,48.35,-1.2,87.66,39,41,12.12,FR,1659463666
420,esil,51.9556,66.4042,65.16,78,47,9.22,KZ,1659463666
421,san quintin,30.4833,-115.95,77.45,63,34,13.4,MX,1659463667
422,marzuq,14.4,46.4667,80.28,54,4,7.72,YE,1659463667
423,half moon bay,37.4636,-122.4286,86.92,66,40,11.5,US,1659463387
424,butembo,0.15,29.2833,58.51,95,94,2.53,CD,1659463668
425,sobolevo,54.4299,31.8996,64.35,86,100,5.32,RU,1659463669
426,faanui,-16.4833,-151.75,78.64,69,40,24.87,PF,1659463669
427,fare,-16.7,-151.0167,78.04,64,34,25.5,PF,1659463670
428,bambanglipuro,-7.95,110.2833,74.26,93,78,2.26,ID,1659463670
429,chuy,-33.6971,-53.4616,62.01,80,96,8.52,UY,1659463671
430,ordzhonikidze,52.4411,61.7408,64.08,83,100,12.17,KZ,1659463671
431,shenjiamen,29.9576,122.298,81.97,87,53,11.95,CN,1659463672
432,namatanai,-3.6667,152.4333,78.44,78,70,8.5,PG,1659463673
433,gushikawa,26.3544,127.8686,81.63,89,0,0.0,JP,1659463673
434,constitucion,-35.3333,-72.4167,56.59,55,0,10.18,CL,1659463393
435,upata,8.0086,-62.3989,80.31,84,72,4.94,VE,1659463674
436,chapais,49.7834,-74.8492,59.31,59,100,6.71,CA,1659463674
437,ferme-neuve,46.7001,-75.4493,70.43,47,76,9.24,CA,1659463675
438,melo,-32.3667,-54.1833,64.54,69,55,9.46,UY,1659463675
439,shelburne,44.0787,-80.2041,68.9,64,90,10.74,CA,1659463675
440,igunga,-4.2833,33.8833,79.09,28,43,7.96,TZ,1659463676
441,egvekinot,66.3167,-179.1667,50.86,64,0,2.55,RU,1659463676
442,fairbanks,64.8378,-147.7164,60.76,92,75,1.01,US,1659463677
443,liwale,-9.7667,37.9333,69.49,55,74,3.18,TZ,1659463678
444,aswan,24.0934,32.907,97.11,16,64,11.72,EG,1659463435
445,padang,-0.9492,100.3543,76.08,91,100,3.87,ID,1659463678
446,kawalu,-7.3817,108.2082,72.07,92,99,0.78,ID,1659463679
447,puerto suarez,-18.95,-57.8,97.36,23,0,11.5,BO,1659463679
448,manhattan,40.7834,-73.9662,92.95,54,40,12.66,US,1659463616
449,gat,31.61,34.7642,84.4,100,8,5.37,IL,1659463680
450,lakes entrance,-37.8811,147.981,58.15,53,100,12.53,AU,1659463681
451,amboise,47.4125,0.9827,91.94,29,0,2.3,FR,1659463681
452,strezhevoy,60.7333,77.5889,53.67,75,27,7.09,RU,1659463682
453,torata,-17.0769,-70.8433,66.33,17,0,9.1,PE,1659463682
454,touros,-5.1989,-35.4608,82.15,68,65,10.71,BR,1659463682
455,mareeba,-17.0,145.4333,65.44,91,58,2.51,AU,1659463683
456,chichigalpa,12.5776,-87.027,90.43,50,87,8.41,NI,1659463684
457,sibu,2.3,111.8167,73.98,99,57,1.1,MY,1659463684
458,urumqi,43.801,87.6005,77.95,34,0,2.24,CN,1659463443
459,codrington,-38.2667,141.9667,51.85,75,84,22.62,AU,1659463685
460,zhezkazgan,47.8043,67.7144,77.05,37,97,12.97,KZ,1659463685
461,ostrovnoy,68.0531,39.5131,59.56,83,19,16.53,RU,1659463686
462,kudahuvadhoo,2.6708,72.8944,81.39,76,84,17.92,MV,1659463686
463,bathsheba,13.2167,-59.5167,88.41,83,20,24.16,BB,1659463687
464,pangnirtung,66.1451,-65.7125,48.9,77,97,3.56,CA,1659463687
465,pochutla,15.7432,-96.4661,89.82,53,21,7.07,MX,1659463688
466,port augusta,-32.5,137.7667,56.3,84,90,9.06,AU,1659463688
467,ancud,-41.8697,-73.8203,48.22,76,79,4.43,CL,1659463689
468,kysyl-syr,63.8986,122.7617,52.02,69,74,5.91,RU,1659463689
469,igarka,67.4667,86.5833,45.01,83,1,12.5,RU,1659463690
470,santa lucia,27.9117,-15.5407,72.77,65,20,31.07,ES,1659463690
471,kachug,53.9606,105.8817,58.55,90,65,4.65,RU,1659463691
472,boende,-0.2167,20.8667,77.7,72,80,2.17,CD,1659463691
473,kayasula,44.325,45.0,82.56,34,6,12.48,RU,1659463692
474,chulumani,-16.4096,-67.5263,81.81,37,59,4.94,BO,1659463692
475,sartell,45.6216,-94.2069,89.38,62,0,12.66,US,1659463693
476,elizabeth city,36.2946,-76.2511,93.06,63,0,9.22,US,1659463506
477,olga,43.7444,135.2892,66.97,98,52,3.4,RU,1659463693
478,manaure,11.7751,-72.4445,90.03,49,100,24.38,CO,1659463694
479,kuala lipis,4.1842,102.0468,74.98,98,100,0.31,MY,1659463694
480,nassau,40.7507,-73.5829,91.33,58,0,16.11,US,1659463695
481,susurluk,39.9136,28.1578,78.84,58,0,10.89,TR,1659463695
482,airai,-8.9266,125.4092,55.44,80,55,1.97,TL,1659463696
483,alwar,27.5667,76.6,89.28,60,100,3.2,IN,1659463696
484,yaan,7.3833,8.5667,73.2,91,98,1.54,NG,1659463697
485,fatehpur,25.9333,80.8,87.71,63,100,7.9,IN,1659463697
486,erenhot,43.6475,111.9767,74.62,69,6,11.36,CN,1659463698
487,qandala,11.472,49.8728,90.48,50,6,4.32,SO,1659463698
488,rancho palos verdes,33.7445,-118.387,88.95,80,20,13.8,US,1659463665
489,emerald,-23.5333,148.1667,54.34,89,40,7.09,AU,1659463699
490,ewa beach,21.3156,-158.0072,78.75,75,75,12.66,US,1659463699
491,kaili,-3.4626,120.2147,66.07,93,97,2.62,ID,1659463700
492,chake chake,-5.2459,39.7666,72.48,81,3,8.1,TZ,1659463700
493,kongolo,-5.3833,27.0,84.2,33,51,4.83,CD,1659463701
494,paragominas,-2.9667,-47.4833,92.93,36,19,6.6,BR,1659463702
495,palana,59.1167,159.9667,49.89,91,100,9.42,RU,1659463702
496,kandete,-9.15,33.8,54.59,89,64,1.74,TZ,1659463703
497,plettenberg bay,-34.0527,23.3716,58.28,55,61,2.33,ZA,1659463703
498,chifeng,42.2683,118.9636,76.78,67,86,4.54,CN,1659463703
499,deder,9.3167,41.45,57.72,77,85,7.0,ET,1659463704
500,abeche,13.8292,20.8324,82.33,61,85,7.85,TD,1659463704
501,tiarei,-17.5333,-149.3333,75.22,70,10,23.0,PF,1659463705
502,bonthe,7.5264,-12.505,74.64,87,100,10.45,SL,1659463705
503,umm kaddadah,13.6017,26.6876,89.42,38,60,8.21,SD,1659463706
504,grand island,40.925,-98.342,93.15,49,0,12.66,US,1659463501
505,vastseliina,57.7303,27.2932,61.86,80,46,0.76,EE,1659463707
506,petropavlovsk-kamchatskiy,53.0452,158.6483,48.78,100,11,9.15,RU,1659463707
507,lavrentiya,65.5833,-171.0,53.28,62,15,5.39,RU,1659463708
508,hami,42.8,93.45,78.46,45,100,8.1,CN,1659463708
509,lebedinyy,58.5167,125.5167,59.34,87,65,5.86,RU,1659463709
510,coihaique,-45.5752,-72.0662,45.21,65,75,8.05,CL,1659463709
511,qostanay,53.1667,63.5833,66.49,55,20,8.95,KZ,1659463683
512,ixtapa,20.7,-105.2,89.22,66,75,3.44,MX,1659463619
513,nauen,52.607,12.8737,80.11,36,63,2.48,DE,1659463710
514,mucurapo,10.6667,-61.5333,90.01,64,37,12.44,TT,1659463710
515,cayenne,4.9333,-52.3333,89.64,6,75,16.11,GF,1659463711
516,iracoubo,5.4802,-53.2011,81.54,83,25,10.78,GF,1659463711
517,atar,20.5169,-13.0499,99.37,27,25,11.39,MR,1659463712
518,ust-kuyga,70.0167,135.6,46.13,74,99,5.48,RU,1659463713
519,opuwo,-18.0607,13.84,56.46,10,16,4.23,NA,1659463713
520,lae,-6.7221,146.9847,74.39,80,84,4.36,PG,1659463713
521,mani,4.8172,-72.2886,79.02,79,95,5.97,CO,1659463714
522,fort nelson,58.8053,-122.7002,67.77,50,42,9.24,CA,1659463715
523,dehui,44.5333,125.7,74.37,83,85,2.17,CN,1659463715
524,sao felix do xingu,-6.6447,-51.995,91.67,37,90,6.8,BR,1659463425
525,vestmannaeyjar,63.4427,-20.2734,58.19,51,40,20.71,IS,1659463716
526,sangmelima,2.9333,11.9833,70.23,84,98,2.75,CM,1659463716
527,shimoda,34.6667,138.95,80.1,90,100,9.53,JP,1659463717
528,kloulklubed,7.0419,134.2556,83.19,73,100,10.69,PW,1659463717
529,inuvik,68.3499,-133.7218,54.36,82,75,9.22,CA,1659463718
530,neuquen,-38.9516,-68.0591,53.49,35,0,8.05,AR,1659463631
531,jaszszentandras,47.5833,20.1833,79.86,38,40,8.46,HU,1659463718
532,tongchuan,35.0806,109.0897,75.07,79,27,5.68,CN,1659463719
533,kavieng,-2.5744,150.7967,81.52,72,87,16.93,PG,1659463719
534,road town,18.4167,-64.6167,86.04,74,40,11.5,VG,1659463720
535,ust-ishim,57.6935,71.1665,54.64,73,0,5.32,RU,1659463720
536,korla,41.7597,86.1469,77.88,41,48,1.57,CN,1659463721
537,winnemucca,40.973,-117.7357,82.45,34,75,3.44,US,1659463558
538,northam,51.0333,-4.2167,72.39,94,65,17.83,GB,1659463722
539,bima,-8.4667,118.7167,72.37,94,100,2.75,ID,1659463722
540,samarai,-10.6167,150.6667,80.11,82,39,16.53,PG,1659463723
541,sambava,-14.2667,50.1667,69.62,81,23,13.35,MG,1659463723
542,crestview,30.7621,-86.5705,89.89,66,40,12.66,US,1659463724
543,boddam,57.4667,-1.7833,71.98,64,32,17.67,GB,1659463724
544,balkanabat,39.5108,54.3671,92.26,25,10,9.78,TM,1659463725
545,payo,-3.7508,103.6372,73.2,91,100,2.06,ID,1659463725
546,nata,8.3333,-80.5167,84.07,77,100,8.95,PA,1659463726
547,broome,42.2506,-75.833,87.48,56,75,11.5,US,1659463726
548,coos bay,43.3665,-124.2179,70.23,91,20,6.91,US,1659463727
549,bagdarin,54.4333,113.6,58.6,95,90,0.65,RU,1659463727
550,rio gallegos,-51.6226,-69.2181,41.05,75,0,6.91,AR,1659463728
551,darnah,32.767,22.6367,79.66,79,0,17.52,LY,1659463728
552,kyren,51.6828,102.1408,61.61,97,100,1.21,RU,1659463729
553,bud,39.447,-86.1758,80.55,60,23,4.21,US,1659463729
554,papara,-3.9839,-38.7273,82.8,58,52,6.98,BR,1659463730
555,honiara,-9.4333,159.95,76.98,85,40,6.13,SB,1659463730
556,bosaso,11.2842,49.1816,91.17,46,16,3.62,SO,1659463731
557,awjilah,29.1081,21.2869,90.41,26,0,10.92,LY,1659463731
558,maiduguri,11.8464,13.1603,75.76,76,93,12.21,NG,1659463732
559,cururupu,-1.8283,-44.8683,84.81,64,21,7.02,BR,1659463732
560,hanmer springs,-42.5167,172.8167,46.53,63,1,17.29,NZ,1659463733
561,novyy urengoy,66.0833,76.6333,57.27,61,92,5.77,RU,1659463733
562,klaksvik,62.2266,-6.589,50.92,89,100,15.37,FO,1659463734
563,kijang,35.2442,129.2139,78.44,93,32,6.64,KR,1659463734
564,dodge city,37.7528,-100.0171,97.05,39,0,19.57,US,1659463651
565,bati,11.1833,40.0167,64.13,87,56,8.28,ET,1659463735
566,carauari,-4.8828,-66.8958,93.25,43,97,3.65,BR,1659463735
567,alugan,12.2188,125.4808,81.27,78,88,5.17,PH,1659463736
568,puerto colombia,10.9878,-74.9547,78.89,79,100,7.14,CO,1659463736
569,miles city,46.4083,-105.8406,97.77,16,0,16.11,US,1659463556
570,buchanan,5.8808,-10.0467,77.41,76,96,10.47,LR,1659463522
571,lumphat,13.4878,106.9816,74.48,98,100,1.05,KH,1659463737
572,hoquiam,46.9809,-123.8893,65.95,79,47,4.0,US,1659463738
573,raga,8.4596,25.678,69.87,93,48,3.36,SS,1659463738
574,olafsvik,64.8945,-23.7142,49.66,70,56,18.32,IS,1659463739
575,nyrob,60.733,56.7202,59.7,67,99,2.75,RU,1659463739
576,mujiayingzi,42.1167,118.7833,74.43,71,86,5.73,CN,1659463740
577,marawi,7.9986,124.2928,68.25,92,97,2.57,PH,1659463740
578,sebastian,35.1668,-94.2669,95.9,36,3,5.17,US,1659463741
579,assiniboia,49.6334,-105.9845,77.2,41,12,21.72,CA,1659463741
580,camacha,33.0833,-16.3333,71.02,73,75,17.27,PT,1659463741
581,karlskrona,56.1616,15.5866,63.05,71,100,10.4,SE,1659463742
582,krasnoborsk,61.5598,45.934,62.08,77,93,4.61,RU,1659463742
583,alofi,-19.0595,-169.9187,76.93,74,10,26.15,NU,1659463743
